image_path,label
SeaLake\SeaLake_2821.jpg,SeaLake
Residential\Residential_894.jpg,Residential
Pasture\Pasture_1803.jpg,Pasture
Pasture\Pasture_229.jpg,Pasture
Industrial\Industrial_2051.jpg,Industrial
Pasture\Pasture_1425.jpg,Pasture
AnnualCrop\AnnualCrop_2118.jpg,AnnualCrop
Pasture\Pasture_1261.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_364.jpg,HerbaceousVegetation
Highway\Highway_209.jpg,Highway
SeaLake\SeaLake_2390.jpg,SeaLake
Highway\Highway_619.jpg,Highway
PermanentCrop\PermanentCrop_687.jpg,PermanentCrop
SeaLake\SeaLake_1578.jpg,SeaLake
Pasture\Pasture_247.jpg,Pasture
SeaLake\SeaLake_958.jpg,SeaLake
SeaLake\SeaLake_1525.jpg,SeaLake
PermanentCrop\PermanentCrop_640.jpg,PermanentCrop
Highway\Highway_1688.jpg,Highway
Forest\Forest_2174.jpg,Forest
AnnualCrop\AnnualCrop_2468.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_2782.jpg,HerbaceousVegetation
PermanentCrop\PermanentCrop_282.jpg,PermanentCrop
SeaLake\SeaLake_2759.jpg,SeaLake
PermanentCrop\PermanentCrop_2205.jpg,PermanentCrop
Residential\Residential_2346.jpg,Residential
River\River_622.jpg,River
Residential\Residential_766.jpg,Residential
Forest\Forest_2012.jpg,Forest
River\River_2193.jpg,River
River\River_2397.jpg,River
Forest\Forest_1886.jpg,Forest
HerbaceousVegetation\HerbaceousVegetation_955.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_300.jpg,HerbaceousVegetation
PermanentCrop\PermanentCrop_1926.jpg,PermanentCrop
AnnualCrop\AnnualCrop_1718.jpg,AnnualCrop
Forest\Forest_1837.jpg,Forest
Highway\Highway_719.jpg,Highway
Highway\Highway_1205.jpg,Highway
SeaLake\SeaLake_51.jpg,SeaLake
PermanentCrop\PermanentCrop_1384.jpg,PermanentCrop
AnnualCrop\AnnualCrop_1721.jpg,AnnualCrop
AnnualCrop\AnnualCrop_1237.jpg,AnnualCrop
Pasture\Pasture_1862.jpg,Pasture
Forest\Forest_1647.jpg,Forest
HerbaceousVegetation\HerbaceousVegetation_12.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_2271.jpg,AnnualCrop
Industrial\Industrial_450.jpg,Industrial
Forest\Forest_180.jpg,Forest
Industrial\Industrial_1371.jpg,Industrial
Industrial\Industrial_961.jpg,Industrial
AnnualCrop\AnnualCrop_2414.jpg,AnnualCrop
Highway\Highway_373.jpg,Highway
AnnualCrop\AnnualCrop_2098.jpg,AnnualCrop
Forest\Forest_2193.jpg,Forest
HerbaceousVegetation\HerbaceousVegetation_153.jpg,HerbaceousVegetation
Residential\Residential_2150.jpg,Residential
Industrial\Industrial_1574.jpg,Industrial
Forest\Forest_92.jpg,Forest
Industrial\Industrial_1123.jpg,Industrial
River\River_1830.jpg,River
HerbaceousVegetation\HerbaceousVegetation_1589.jpg,HerbaceousVegetation
Highway\Highway_388.jpg,Highway
PermanentCrop\PermanentCrop_161.jpg,PermanentCrop
PermanentCrop\PermanentCrop_1525.jpg,PermanentCrop
HerbaceousVegetation\HerbaceousVegetation_3.jpg,HerbaceousVegetation
Pasture\Pasture_1508.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_2069.jpg,HerbaceousVegetation
Industrial\Industrial_926.jpg,Industrial
Forest\Forest_586.jpg,Forest
AnnualCrop\AnnualCrop_781.jpg,AnnualCrop
SeaLake\SeaLake_2615.jpg,SeaLake
Pasture\Pasture_355.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_2978.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_2258.jpg,HerbaceousVegetation
Residential\Residential_1667.jpg,Residential
Forest\Forest_1411.jpg,Forest
River\River_297.jpg,River
SeaLake\SeaLake_332.jpg,SeaLake
SeaLake\SeaLake_338.jpg,SeaLake
Industrial\Industrial_759.jpg,Industrial
HerbaceousVegetation\HerbaceousVegetation_544.jpg,HerbaceousVegetation
Pasture\Pasture_370.jpg,Pasture
AnnualCrop\AnnualCrop_2864.jpg,AnnualCrop
Pasture\Pasture_1761.jpg,Pasture
SeaLake\SeaLake_2118.jpg,SeaLake
PermanentCrop\PermanentCrop_402.jpg,PermanentCrop
Highway\Highway_1930.jpg,Highway
Pasture\Pasture_1530.jpg,Pasture
River\River_1212.jpg,River
Industrial\Industrial_769.jpg,Industrial
AnnualCrop\AnnualCrop_771.jpg,AnnualCrop
PermanentCrop\PermanentCrop_381.jpg,PermanentCrop
AnnualCrop\AnnualCrop_713.jpg,AnnualCrop
PermanentCrop\PermanentCrop_1602.jpg,PermanentCrop
HerbaceousVegetation\HerbaceousVegetation_2422.jpg,HerbaceousVegetation
Residential\Residential_1272.jpg,Residential
Industrial\Industrial_2141.jpg,Industrial
AnnualCrop\AnnualCrop_2244.jpg,AnnualCrop
Pasture\Pasture_1808.jpg,Pasture
River\River_2471.jpg,River
AnnualCrop\AnnualCrop_2806.jpg,AnnualCrop
PermanentCrop\PermanentCrop_461.jpg,PermanentCrop
Pasture\Pasture_1744.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_2893.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_1375.jpg,AnnualCrop
Highway\Highway_1802.jpg,Highway
Industrial\Industrial_1399.jpg,Industrial
HerbaceousVegetation\HerbaceousVegetation_35.jpg,HerbaceousVegetation
Residential\Residential_1809.jpg,Residential
SeaLake\SeaLake_2261.jpg,SeaLake
HerbaceousVegetation\HerbaceousVegetation_1437.jpg,HerbaceousVegetation
SeaLake\SeaLake_933.jpg,SeaLake
SeaLake\SeaLake_1035.jpg,SeaLake
Residential\Residential_481.jpg,Residential
River\River_466.jpg,River
PermanentCrop\PermanentCrop_486.jpg,PermanentCrop
PermanentCrop\PermanentCrop_2112.jpg,PermanentCrop
Pasture\Pasture_1520.jpg,Pasture
AnnualCrop\AnnualCrop_204.jpg,AnnualCrop
SeaLake\SeaLake_1949.jpg,SeaLake
HerbaceousVegetation\HerbaceousVegetation_1944.jpg,HerbaceousVegetation
Highway\Highway_1658.jpg,Highway
River\River_355.jpg,River
Pasture\Pasture_1148.jpg,Pasture
Residential\Residential_2950.jpg,Residential
Forest\Forest_2656.jpg,Forest
PermanentCrop\PermanentCrop_745.jpg,PermanentCrop
Industrial\Industrial_1848.jpg,Industrial
Highway\Highway_2360.jpg,Highway
Industrial\Industrial_1374.jpg,Industrial
Residential\Residential_2115.jpg,Residential
Residential\Residential_1060.jpg,Residential
Forest\Forest_2032.jpg,Forest
Forest\Forest_2279.jpg,Forest
HerbaceousVegetation\HerbaceousVegetation_2767.jpg,HerbaceousVegetation
Industrial\Industrial_853.jpg,Industrial
Highway\Highway_2120.jpg,Highway
AnnualCrop\AnnualCrop_2975.jpg,AnnualCrop
AnnualCrop\AnnualCrop_454.jpg,AnnualCrop
Residential\Residential_315.jpg,Residential
Industrial\Industrial_1307.jpg,Industrial
Highway\Highway_742.jpg,Highway
Residential\Residential_2936.jpg,Residential
Residential\Residential_2298.jpg,Residential
AnnualCrop\AnnualCrop_996.jpg,AnnualCrop
Forest\Forest_2283.jpg,Forest
Industrial\Industrial_2450.jpg,Industrial
SeaLake\SeaLake_2954.jpg,SeaLake
AnnualCrop\AnnualCrop_1757.jpg,AnnualCrop
Residential\Residential_2499.jpg,Residential
Pasture\Pasture_491.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_2961.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_2689.jpg,AnnualCrop
AnnualCrop\AnnualCrop_908.jpg,AnnualCrop
Forest\Forest_1113.jpg,Forest
SeaLake\SeaLake_2889.jpg,SeaLake
HerbaceousVegetation\HerbaceousVegetation_2061.jpg,HerbaceousVegetation
PermanentCrop\PermanentCrop_1147.jpg,PermanentCrop
PermanentCrop\PermanentCrop_1342.jpg,PermanentCrop
Residential\Residential_1017.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_1532.jpg,HerbaceousVegetation
Residential\Residential_2639.jpg,Residential
Forest\Forest_1282.jpg,Forest
Industrial\Industrial_424.jpg,Industrial
AnnualCrop\AnnualCrop_2050.jpg,AnnualCrop
Highway\Highway_1918.jpg,Highway
River\River_161.jpg,River
Pasture\Pasture_972.jpg,Pasture
Highway\Highway_1090.jpg,Highway
Forest\Forest_1894.jpg,Forest
Forest\Forest_626.jpg,Forest
AnnualCrop\AnnualCrop_1526.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_757.jpg,HerbaceousVegetation
Industrial\Industrial_1682.jpg,Industrial
Pasture\Pasture_272.jpg,Pasture
Highway\Highway_1927.jpg,Highway
PermanentCrop\PermanentCrop_957.jpg,PermanentCrop
PermanentCrop\PermanentCrop_1256.jpg,PermanentCrop
Highway\Highway_1042.jpg,Highway
Industrial\Industrial_1430.jpg,Industrial
PermanentCrop\PermanentCrop_1420.jpg,PermanentCrop
HerbaceousVegetation\HerbaceousVegetation_906.jpg,HerbaceousVegetation
Pasture\Pasture_589.jpg,Pasture
PermanentCrop\PermanentCrop_2272.jpg,PermanentCrop
River\River_356.jpg,River
River\River_981.jpg,River
Residential\Residential_2366.jpg,Residential
Industrial\Industrial_1321.jpg,Industrial
HerbaceousVegetation\HerbaceousVegetation_2750.jpg,HerbaceousVegetation
Highway\Highway_575.jpg,Highway
PermanentCrop\PermanentCrop_1066.jpg,PermanentCrop
Residential\Residential_2048.jpg,Residential
Industrial\Industrial_992.jpg,Industrial
AnnualCrop\AnnualCrop_2047.jpg,AnnualCrop
AnnualCrop\AnnualCrop_1376.jpg,AnnualCrop
AnnualCrop\AnnualCrop_542.jpg,AnnualCrop
AnnualCrop\AnnualCrop_2672.jpg,AnnualCrop
Industrial\Industrial_637.jpg,Industrial
Highway\Highway_1738.jpg,Highway
Highway\Highway_1187.jpg,Highway
River\River_1529.jpg,River
PermanentCrop\PermanentCrop_1807.jpg,PermanentCrop
Highway\Highway_1358.jpg,Highway
River\River_1580.jpg,River
SeaLake\SeaLake_2693.jpg,SeaLake
Residential\Residential_2471.jpg,Residential
PermanentCrop\PermanentCrop_480.jpg,PermanentCrop
Highway\Highway_2117.jpg,Highway
Highway\Highway_2390.jpg,Highway
Highway\Highway_1569.jpg,Highway
Highway\Highway_1662.jpg,Highway
PermanentCrop\PermanentCrop_89.jpg,PermanentCrop
PermanentCrop\PermanentCrop_1575.jpg,PermanentCrop
SeaLake\SeaLake_320.jpg,SeaLake
Industrial\Industrial_562.jpg,Industrial
HerbaceousVegetation\HerbaceousVegetation_2052.jpg,HerbaceousVegetation
Pasture\Pasture_1195.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_1853.jpg,HerbaceousVegetation
Pasture\Pasture_942.jpg,Pasture
SeaLake\SeaLake_765.jpg,SeaLake
Residential\Residential_2860.jpg,Residential
Highway\Highway_1939.jpg,Highway
SeaLake\SeaLake_1914.jpg,SeaLake
Residential\Residential_2162.jpg,Residential
River\River_1153.jpg,River
Pasture\Pasture_1155.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_1398.jpg,HerbaceousVegetation
SeaLake\SeaLake_839.jpg,SeaLake
River\River_1101.jpg,River
HerbaceousVegetation\HerbaceousVegetation_968.jpg,HerbaceousVegetation
SeaLake\SeaLake_195.jpg,SeaLake
SeaLake\SeaLake_2034.jpg,SeaLake
Pasture\Pasture_1260.jpg,Pasture
Forest\Forest_2510.jpg,Forest
Residential\Residential_321.jpg,Residential
River\River_1047.jpg,River
Pasture\Pasture_1606.jpg,Pasture
Residential\Residential_1575.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_350.jpg,HerbaceousVegetation
Highway\Highway_399.jpg,Highway
HerbaceousVegetation\HerbaceousVegetation_160.jpg,HerbaceousVegetation
Pasture\Pasture_965.jpg,Pasture
Pasture\Pasture_164.jpg,Pasture
Highway\Highway_2197.jpg,Highway
Residential\Residential_1355.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_2633.jpg,HerbaceousVegetation
Highway\Highway_2321.jpg,Highway
Residential\Residential_1375.jpg,Residential
SeaLake\SeaLake_2058.jpg,SeaLake
Residential\Residential_641.jpg,Residential
River\River_469.jpg,River
River\River_1778.jpg,River
Pasture\Pasture_667.jpg,Pasture
PermanentCrop\PermanentCrop_2211.jpg,PermanentCrop
Residential\Residential_2249.jpg,Residential
AnnualCrop\AnnualCrop_103.jpg,AnnualCrop
SeaLake\SeaLake_239.jpg,SeaLake
River\River_141.jpg,River
Forest\Forest_539.jpg,Forest
Industrial\Industrial_1995.jpg,Industrial
AnnualCrop\AnnualCrop_422.jpg,AnnualCrop
Pasture\Pasture_1522.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_1321.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_2328.jpg,AnnualCrop
Industrial\Industrial_483.jpg,Industrial
Residential\Residential_75.jpg,Residential
River\River_2465.jpg,River
PermanentCrop\PermanentCrop_1618.jpg,PermanentCrop
Forest\Forest_1993.jpg,Forest
Forest\Forest_2479.jpg,Forest
Highway\Highway_81.jpg,Highway
Forest\Forest_1591.jpg,Forest
SeaLake\SeaLake_1172.jpg,SeaLake
PermanentCrop\PermanentCrop_1347.jpg,PermanentCrop
Highway\Highway_1004.jpg,Highway
HerbaceousVegetation\HerbaceousVegetation_187.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_2825.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_1774.jpg,AnnualCrop
Highway\Highway_738.jpg,Highway
Highway\Highway_733.jpg,Highway
River\River_1539.jpg,River
Residential\Residential_125.jpg,Residential
SeaLake\SeaLake_2472.jpg,SeaLake
River\River_1835.jpg,River
Forest\Forest_1705.jpg,Forest
SeaLake\SeaLake_839.jpg,SeaLake
Pasture\Pasture_337.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_1709.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_2015.jpg,AnnualCrop
Pasture\Pasture_1794.jpg,Pasture
SeaLake\SeaLake_1735.jpg,SeaLake
Forest\Forest_385.jpg,Forest
Industrial\Industrial_1618.jpg,Industrial
AnnualCrop\AnnualCrop_269.jpg,AnnualCrop
Highway\Highway_314.jpg,Highway
River\River_1619.jpg,River
Pasture\Pasture_1726.jpg,Pasture
Highway\Highway_577.jpg,Highway
Highway\Highway_2462.jpg,Highway
SeaLake\SeaLake_2682.jpg,SeaLake
Residential\Residential_1169.jpg,Residential
PermanentCrop\PermanentCrop_2177.jpg,PermanentCrop
SeaLake\SeaLake_1833.jpg,SeaLake
PermanentCrop\PermanentCrop_1822.jpg,PermanentCrop
Residential\Residential_2748.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_161.jpg,HerbaceousVegetation
Industrial\Industrial_1672.jpg,Industrial
Industrial\Industrial_11.jpg,Industrial
Residential\Residential_931.jpg,Residential
Pasture\Pasture_1.jpg,Pasture
PermanentCrop\PermanentCrop_1423.jpg,PermanentCrop
Residential\Residential_1759.jpg,Residential
Residential\Residential_2313.jpg,Residential
AnnualCrop\AnnualCrop_2360.jpg,AnnualCrop
AnnualCrop\AnnualCrop_2121.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_418.jpg,HerbaceousVegetation
PermanentCrop\PermanentCrop_55.jpg,PermanentCrop
HerbaceousVegetation\HerbaceousVegetation_540.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_1636.jpg,AnnualCrop
PermanentCrop\PermanentCrop_202.jpg,PermanentCrop
Residential\Residential_438.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_1492.jpg,HerbaceousVegetation
Industrial\Industrial_545.jpg,Industrial
River\River_861.jpg,River
SeaLake\SeaLake_2829.jpg,SeaLake
AnnualCrop\AnnualCrop_270.jpg,AnnualCrop
SeaLake\SeaLake_2650.jpg,SeaLake
SeaLake\SeaLake_712.jpg,SeaLake
Industrial\Industrial_1426.jpg,Industrial
River\River_1081.jpg,River
Forest\Forest_1760.jpg,Forest
Highway\Highway_1594.jpg,Highway
Highway\Highway_1596.jpg,Highway
HerbaceousVegetation\HerbaceousVegetation_2845.jpg,HerbaceousVegetation
Forest\Forest_2204.jpg,Forest
AnnualCrop\AnnualCrop_1935.jpg,AnnualCrop
Residential\Residential_2425.jpg,Residential
Pasture\Pasture_707.jpg,Pasture
Residential\Residential_991.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_2310.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_560.jpg,HerbaceousVegetation
Highway\Highway_915.jpg,Highway
AnnualCrop\AnnualCrop_1755.jpg,AnnualCrop
AnnualCrop\AnnualCrop_2489.jpg,AnnualCrop
River\River_2201.jpg,River
Industrial\Industrial_1177.jpg,Industrial
River\River_1740.jpg,River
Pasture\Pasture_1937.jpg,Pasture
Residential\Residential_2912.jpg,Residential
Forest\Forest_2799.jpg,Forest
River\River_2483.jpg,River
Residential\Residential_953.jpg,Residential
Forest\Forest_2504.jpg,Forest
AnnualCrop\AnnualCrop_1918.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_2524.jpg,HerbaceousVegetation
Highway\Highway_581.jpg,Highway
Residential\Residential_1485.jpg,Residential
Residential\Residential_691.jpg,Residential
Forest\Forest_1555.jpg,Forest
SeaLake\SeaLake_979.jpg,SeaLake
PermanentCrop\PermanentCrop_900.jpg,PermanentCrop
PermanentCrop\PermanentCrop_1972.jpg,PermanentCrop
SeaLake\SeaLake_583.jpg,SeaLake
River\River_313.jpg,River
AnnualCrop\AnnualCrop_969.jpg,AnnualCrop
PermanentCrop\PermanentCrop_707.jpg,PermanentCrop
Industrial\Industrial_1921.jpg,Industrial
PermanentCrop\PermanentCrop_2475.jpg,PermanentCrop
Forest\Forest_1281.jpg,Forest
PermanentCrop\PermanentCrop_765.jpg,PermanentCrop
Forest\Forest_989.jpg,Forest
Residential\Residential_1705.jpg,Residential
SeaLake\SeaLake_558.jpg,SeaLake
River\River_721.jpg,River
PermanentCrop\PermanentCrop_1022.jpg,PermanentCrop
River\River_648.jpg,River
Pasture\Pasture_805.jpg,Pasture
PermanentCrop\PermanentCrop_20.jpg,PermanentCrop
AnnualCrop\AnnualCrop_2420.jpg,AnnualCrop
Highway\Highway_63.jpg,Highway
River\River_2025.jpg,River
Industrial\Industrial_1360.jpg,Industrial
PermanentCrop\PermanentCrop_1270.jpg,PermanentCrop
Forest\Forest_1582.jpg,Forest
HerbaceousVegetation\HerbaceousVegetation_2411.jpg,HerbaceousVegetation
Industrial\Industrial_594.jpg,Industrial
AnnualCrop\AnnualCrop_2474.jpg,AnnualCrop
AnnualCrop\AnnualCrop_1583.jpg,AnnualCrop
SeaLake\SeaLake_2631.jpg,SeaLake
PermanentCrop\PermanentCrop_2414.jpg,PermanentCrop
Industrial\Industrial_301.jpg,Industrial
AnnualCrop\AnnualCrop_209.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_87.jpg,HerbaceousVegetation
SeaLake\SeaLake_254.jpg,SeaLake
Highway\Highway_1765.jpg,Highway
Highway\Highway_196.jpg,Highway
River\River_2169.jpg,River
Industrial\Industrial_15.jpg,Industrial
Forest\Forest_1890.jpg,Forest
Highway\Highway_412.jpg,Highway
River\River_2192.jpg,River
Industrial\Industrial_1739.jpg,Industrial
Industrial\Industrial_1114.jpg,Industrial
Residential\Residential_211.jpg,Residential
Pasture\Pasture_15.jpg,Pasture
AnnualCrop\AnnualCrop_74.jpg,AnnualCrop
River\River_79.jpg,River
Pasture\Pasture_1805.jpg,Pasture
SeaLake\SeaLake_2817.jpg,SeaLake
Residential\Residential_489.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_117.jpg,HerbaceousVegetation
Industrial\Industrial_371.jpg,Industrial
Forest\Forest_1584.jpg,Forest
SeaLake\SeaLake_131.jpg,SeaLake
River\River_1654.jpg,River
SeaLake\SeaLake_1042.jpg,SeaLake
River\River_35.jpg,River
Highway\Highway_291.jpg,Highway
Residential\Residential_1195.jpg,Residential
Highway\Highway_1231.jpg,Highway
Pasture\Pasture_1843.jpg,Pasture
Highway\Highway_1271.jpg,Highway
Highway\Highway_2212.jpg,Highway
Industrial\Industrial_2212.jpg,Industrial
PermanentCrop\PermanentCrop_140.jpg,PermanentCrop
SeaLake\SeaLake_2257.jpg,SeaLake
River\River_1046.jpg,River
Industrial\Industrial_369.jpg,Industrial
Forest\Forest_2685.jpg,Forest
River\River_1945.jpg,River
Forest\Forest_1472.jpg,Forest
Highway\Highway_418.jpg,Highway
Pasture\Pasture_1893.jpg,Pasture
Industrial\Industrial_1887.jpg,Industrial
Residential\Residential_532.jpg,Residential
Pasture\Pasture_1862.jpg,Pasture
HerbaceousVegetation\HerbaceousVegetation_2231.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_1542.jpg,HerbaceousVegetation
SeaLake\SeaLake_2449.jpg,SeaLake
Industrial\Industrial_1412.jpg,Industrial
AnnualCrop\AnnualCrop_2582.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_1628.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_119.jpg,AnnualCrop
AnnualCrop\AnnualCrop_1070.jpg,AnnualCrop
Highway\Highway_693.jpg,Highway
AnnualCrop\AnnualCrop_2136.jpg,AnnualCrop
PermanentCrop\PermanentCrop_1656.jpg,PermanentCrop
Highway\Highway_1952.jpg,Highway
SeaLake\SeaLake_2797.jpg,SeaLake
SeaLake\SeaLake_740.jpg,SeaLake
Residential\Residential_960.jpg,Residential
River\River_1225.jpg,River
HerbaceousVegetation\HerbaceousVegetation_1592.jpg,HerbaceousVegetation
Industrial\Industrial_951.jpg,Industrial
PermanentCrop\PermanentCrop_1789.jpg,PermanentCrop
SeaLake\SeaLake_2217.jpg,SeaLake
Forest\Forest_1385.jpg,Forest
Residential\Residential_508.jpg,Residential
HerbaceousVegetation\HerbaceousVegetation_2414.jpg,HerbaceousVegetation
River\River_1286.jpg,River
PermanentCrop\PermanentCrop_1637.jpg,PermanentCrop
Highway\Highway_1097.jpg,Highway
Residential\Residential_548.jpg,Residential
Industrial\Industrial_2470.jpg,Industrial
PermanentCrop\PermanentCrop_1030.jpg,PermanentCrop
Residential\Residential_382.jpg,Residential
